discount,ram_gb,storage_gb,storage_type,price_usd_$,old_price_usd_$
34%,8,8,SSD,264.0,400.0
27%,8,8,SSD,233.33,320.0
38%,4,4,SSD,90.4,146.67
58%,8,8,HDD,202.4,480.0
48%,8,8,SSD,305.33,586.67
24%,8,8,SSD,253.33,333.33
57%,4,4,SSD,101.07,237.33
63%,8,8,HDD,160.0,426.67
61%,4,4,SSD,104.0,266.67
55%,4,4,HDD,120.0,266.4
60%,4,4,SSD,138.1,346.67
6%,16,16,SSD,373.07,397.33
54%,8,8,HDD,146.67,320.0
59%,8,8,HDD,130.67,320.0
35%,8,8,SSD,121.87,186.67
48%,8,8,SSD,320.0,613.33
51%,8,8,HDD,130.4,266.67
49%,8,8,SSD,202.67,400.0
,8,8,SSD,200.0,
29%,4,4,SSD,133.33,186.67
28%,4,4,HDD,520.0,720.0
13%,8,8,HDD,173.33,200.0
60%,4,4,SSD,104.0,261.33
52%,8,8,HDD,156.0,328.0
7%,16,16,SSD,373.07,400.0
45%,8,256,SSD,293.33,533.33
46%,8,8,HDD,135.73,253.33
46%,8,8,SSD,346.4,637.33
27%,8,8,SSD,586.67,800.0
50%,16,16,HDD,146.4,290.67
20%,8,8,HDD,160.0,200.0
31%,4,4,SSD,120.0,173.33
30%,4,128,SSD,131.47,186.67
31%,8,500,HDD,138.67,200.0
62%,8,8,SSD,202.4,533.33
55%,8,8,SSD,239.73,533.33
52%,8,8,SSD,184.0,381.33
33%,8,8,SSD,125.07,186.67
52%,8,8,HDD,185.95,386.67
43%,8,8,HDD,213.07,370.67
41%,8,8,SSD,269.33,453.33
73%,12,12,HDD,167.73,610.67
22%,8,8,SSD,666.67,853.33
45%,8,8,SSD,184.0,333.33
29%,8,8,HDD,133.07,186.67
46%,16,16,HDD,258.67,480.0
33%,4,4,SSD,133.07,200.0
16%,4,4,SSD,122.67,146.67
47%,4,4,HDD,133.33,253.34
44%,8,256,SSD,253.33,453.33
,8,8,SSD,613.33,
47%,8,8,HDD,133.33,253.34
12%,8,8,SSD,200.0,226.67
61%,4,500,HDD,114.67,293.33
33%,4,4,SSD,133.33,200.0
61%,8,8,HDD,125.07,317.33
16%,8,8,SSD,1448.0,1714.67
60%,8,8,SSD,202.4,506.67
55%,4,4,SSD,142.67,320.0
33%,16,16,SSD,239.73,360.0
,4,320,HDD,210.67,
36%,8,8,SSD,119.73,186.67
45%,4,128,SSD,109.33,200.0
55%,4,4,SSD,121.33,266.67
29%,16,16,HDD,226.4,317.33
42%,4,256,SSD,120.0,208.0
19%,8,8,SSD,293.07,362.4
34%,4,4,SSD,106.4,160.0
16%,12,12,SSD,178.4,213.33
46%,4,500,HDD,130.69,240.0
14%,8,8,SSD,1586.67,1853.33
19%,8,8,SSD,237.33,293.33
39%,8,8,SSD,159.73,264.0
40%,4,4,SSD,104.0,173.33
24%,4,4,HDD,693.33,906.67
33%,8,8,SSD,319.97,477.34
37%,4,4,SSD,117.07,186.67
40%,8,8,SSD,133.07,221.33
35%,4,4,HDD,173.33,266.67
47%,4,4,SSD,85.07,160.0
42%,4,4,SSD,106.4,184.0
27%,4,512,SSD,213.33,293.33
37%,8,500,HDD,236.8,373.33
30%,8,8,SSD,316.0,453.33
25%,8,8,SSD,240.0,321.33
33%,8,8,SSD,266.67,400.0
